studentId,classId,decision,reason,status,termStart,termEnd,documentId
A2EJWXSdfou0gupurFkL,XXTe0dcLydenBbhXkIHF,create,SAFE_CURRENT_ENROLLMENT,active,2026-06-20,2026-08-09,WyJBMkVKV1hTZGZvdTBndXB1ckZrTCIsIlhYVGUwZGNMeWRlbkJiaFhrSUhGIiwiMjAyNi0wNi0yMCJd
a9UrWWRC91wAZiQld44S,WqLGvTj9Kft3C69PU08V,exclude,ENDED_CLASS,,,,
AAGAgn0PlMU4gdTp1KzY,ERCRTO9edy422YC37xiy,exclude,NON_CURRENT_STATUS,,,,
aclIR20ybw8mKhu4wZpu,pAKl7xpSLd1atr3eRofo,create,SAFE_CURRENT_ENROLLMENT,on_leave,2026-06-23,2026-08-13,WyJhY2xJUjIweWJ3OG1LaHU0d1pwdSIsInBBS2w3eHBTTGQxYXRyM2VSb2ZvIiwiMjAyNi0wNi0yMyJd
aDE1efiPJvFRZuEA3vAF,tGtoavV6esqgyuTMKVUf,create,SAFE_CURRENT_ENROLLMENT,active,2026-07-05,2026-08-29,WyJhREUxZWZpUEp2RlJadUVBM3ZBRiIsInRHdG9hdlY2ZXNxZ3l1VE1LVlVmIiwiMjAyNi0wNy0wNSJd
AiYX30mvzv01n3JLQPzV,AnxnD92cSGEYTMqhNFw5,exclude,EXISTING_ENROLLMENT,,,,
AJgnw9xnYI9cf7JWoeXb,2GIu9f1T94IoMFu7F6Ye,exclude,NON_CURRENT_STATUS,,,,
AkzVu4e3uSMZQO6jWgNG,b6GS6Dg5npzK3y2iRpbs,exclude,NON_CURRENT_STATUS,,,,
alNs971kR22ENZjoBc05,mxZlZe2CtUrOvjYhuwvi,create,SAFE_CURRENT_ENROLLMENT,active,2026-06-22,2026-08-16,WyJhbE5zOTcxa1IyMkVOWmpvQmMwNSIsIm14WmxaZTJDdFVyT3ZqWWh1d3ZpIiwiMjAyNi0wNi0yMiJd
am3DeCyS4zFLlzHIH8H1,AnxnD92cSGEYTMqhNFw5,create,SAFE_CURRENT_ENROLLMENT,active,2026-07-22,2026-09-16,WyJhbTNEZUN5UzR6RkxsekhJSDhIMSIsIkFueG5EOTJjU0dFWVRNcWhORnc1IiwiMjAyNi0wNy0yMiJd
anBJsoKnQ54EIVoP7Apf,RI6vRY14dJtwLSpdy1Bc,exclude,EXISTING_ENROLLMENT,,,,
AP9RP6pCGJxUpasM9sJ8,eHaGs0lAu2GqMWW2i19N,exclude,NON_CURRENT_STATUS,,,,
aPmcQseIVBDVN6Fs9gjW,KrranixViHUAu0AGnohg,create,SAFE_CURRENT_ENROLLMENT,active,2026-07-04,2026-08-23,WyJhUG1jUXNlSVZCRFZONkZzOWdqVyIsIktycmFuaXhWaUhVQXUwQUdub2hnIiwiMjAyNi0wNy0wNCJd
aqHkOvXCvZ9JbBE9aaBX,ScflKHWUpRh4aVD7zCXr,create,SAFE_CURRENT_ENROLLMENT,active,2026-07-20,2026-09-13,WyJhcUhrT3ZYQ3ZaOUpiQkU5YWFCWCIsIlNjZmxLSFdVcFJoNGFWRDd6Q1hyIiwiMjAyNi0wNy0yMCJd
aqMYtC3GOJPxj650mScT,VWLk5yClGPg6muM1vBXa,create,SAFE_CURRENT_ENROLLMENT,active,2026-06-30,2026-08-20,WyJhcU1ZdEMzR09KUHhqNjUwbVNjVCIsIlZXTGs1eUNsR1BnNm11TTF2QlhhIiwiMjAyNi0wNi0zMCJd
AqzNUbr0qhnho0lUypBt,7Fxj71SvCY5SSGACTZ8C,exclude,EXISTING_ENROLLMENT,,,,
Ar2rtkqxYZCW1b3l9lGD,187uCU8mzdnrWpziZrDe,create,SAFE_CURRENT_ENROLLMENT,active,2026-07-08,2026-08-28,WyJBcjJydGtxeFlaQ1cxYjNsOWxHRCIsIjE4N3VDVThtemRucldwemlackRlIiwiMjAyNi0wNy0wOCJd
aRv9tm2coQa22PI8i5wr,LMpRvmwnanq28ftRLvP3,exclude,NON_CURRENT_STATUS,,,,
AZuOa87UkncpcFSgVcam,NQ1K3m1shKBZJSVegPme,exclude,EXISTING_ENROLLMENT,,,,
